"Категории";"Основная категория";"Артикул";"Короткое название";"Характеристики";"Описание товара";"Бренд";"Цена_Трансазия";"Цена_Розничная";"Фотографии";"Показывать товар"
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460284;"MR PROPER Моющая жидкость для полов и стен Лимон 0,75 л";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:MR PROPER;
(Характеристики товара (Бытовая химия))Форма:Жидкость;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:5413149157378;
(Характеристики товара (Бытовая химия))Объем:750 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00006661";"Моющая жидкость MR PROPER для полов и стен Лимон  Концентрированное моющее средство для полов и стен MR PROPER сократит время вашей уборки в два раза и превратит мытье пола в удовольствие. Щадящая рН формула позволяет прекрасно справляться с различными загрязнениями на любых поверхностях, в том числе паркет и ламинат. Концентрат применяется для приготовления моющего раствора, соблюдая инструкцию по применению. Прекрасно растворяется в воде и дает обильную мягкую пену. После мытья поверхность не липнет и на ней не образуется белого налета. Приятный аромат лимона наполнит ваш дом свежестью. В процессе работы необходимо пользоваться перчатками. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Подходит для любых поверхностей. </li><li> Не требует дополнительного смывания.</li><li> Не оставляет разводов. </li><li> Не содержит хлор. </li><li> Не токсичен. </li><li> Дарит приятный цитрусовый аромат. </li>
<br>
<br>
Состав:  <5% неионогенные ПАВ; консерванты, ароматизирующие добавки, цитраль, цитронеллол, гераниол, гексилкоричный альдегид, лимонен, линалоол.";"MR PROPER";131;164;"/storage/photo/original/g/mr-proper-moyushaya-zhidkost-dlya-polov-i-sten-limon-075-l.jpg";1
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460285;"MR PROPER Моющая жидкость для полов и стен Океан 0,75 л";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:MR PROPER;
(Характеристики товара (Бытовая химия))Форма:Жидкость;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:5413149157422;
(Характеристики товара (Бытовая химия))Объем:750 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00006712";"Моющая жидкость MR PROPER для полов и стен Океан  Концентрированное моющее средство для полов и стен MR PROPER сократит время вашей уборки в два раза и превратит мытье пола в удовольствие. Щадящая рН формула позволяет прекрасно справляться с различными загрязнениями на любых поверхностях, в том числе паркет и ламинат. Концентрат применяется для приготовления моющего раствора, соблюдая инструкцию по применению. Прекрасно растворяется в воде и дает обильную мягкую пену. После мытья поверхность не липнет и на ней не образуется белого налета. Приятный аромат океана наполнит ваш дом свежестью. В процессе работы необходимо пользоваться перчатками. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Подходит для любых поверхностей. </li><li> Не требует дополнительного смывания.</li><li> Не оставляет разводов. </li><li> Не содержит хлор. </li><li> Не токсичен. </li><li> Дарит приятный свежий аромат. </li>
<br>
<br>
Состав:  <5% неионогенные ПАВ; консерванты, ароматизирующие добавки, цитраль, цитронеллол, гераниол, гексилкоричный альдегид, лимонен, линалоол.";"MR PROPER";131;164;"/storage/photo/original/g/mr-proper-moyushaya-zhidkost-dlya-polov-i-sten-okean-075-l.jpg";1
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460286;"MR PROPER Моющая жидкость для полов и стен Лавандовое Спокойствие 0,5 л";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:MR PROPER;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:5413149819092;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00006550";"Моющая жидкость MR PROPER для полов и стен Лавандовое Спокойствие  Концентрированное моющее средство для полов и стен MR PROPER сократит время вашей уборки в два раза и превратит мытье пола в удовольствие. Щадящая рН формула позволяет прекрасно справляться с различными загрязнениями на любых поверхностях, в том числе паркет и ламинат. Концентрат применяется для приготовления моющего раствора, соблюдая инструкцию по применению. Прекрасно растворяется в воде и дает обильную мягкую пену. После мытья поверхность не липнет и на ней не образуется белого налета. Приятный аромат лаванды наполнит ваш дом свежестью. В процессе работы необходимо пользоваться перчатками. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Подходит для любых поверхностей. </li><li> Не требует дополнительного смывания.</li><li> Не оставляет разводов. </li><li> Не содержит хлор. </li><li> Не токсичен. </li><li> Дарит приятный цветочный аромат. </li>
<br>
<br>
Состав:  <5% неионогенные ПАВ; консерванты, ароматизирующие добавки, цитраль, цитронеллол, гераниол, гексилкоричный альдегид, лимонен, линалоол.";"MR PROPER";84;105;"/storage/photo/original/g/mr-proper-moyushaya-zhidkost-dlya-polov-i-sten-lavandovoe-spokojstvie-05-l.jpg";1
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460287;"GREEN LOVE средство для мытья полов 1 л";"(Характеристики товара (Бытовая химия))Тип товара:Моющее средство;
(Характеристики товара (Бытовая химия))Бренд:GREEN LOVE;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4602984015139;
(Характеристики товара (Бытовая химия))Объем:1 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00043557";"Экологичное средство с экстрактом имбиря и бамбуком. Для бережной очистки всех типов полов: ламината, паркета, кафеля, керамогранита и линолеума. Не требует смывания. Удаляет сильные загрязнения, не оставляя разводов. Подходит для уборки в детских комнатах.</p>";"GREEN LOVE";145;181;"/storage/photo/original/g/green-love-sredstvo-dlya-mitya-polov-1-l.png";1
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460288;"GREEN LOVE моющее средство Универсальное 1 л";"(Характеристики товара (Бытовая химия))Тип товара:Моющее средство;
(Характеристики товара (Бытовая химия))Бренд:GREEN LOVE;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4602984015122;
(Характеристики товара (Бытовая химия))Объем:1 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00043555";"Экологичное средство с экстрактом имбиря и бамбуком. Для бережной очистки всех типов полов: ламината, паркета, кафеля, керамогранита и линолеума. Не требует смывания. Удаляет сильные загрязнения, не оставляя разводов. Подходит для уборки в детских комнатах.
</p>";"GREEN LOVE";141;176;"/storage/photo/original/g/green-love-moyushee-sredstvo-universalnoe-1-l.jpg";1
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460289;"MR PROPER моющее средство Для Полов и Стен бережная уборка 0,5 л";"(Характеристики товара (Бытовая химия))Тип товара:Моющее средство;
(Характеристики товара (Бытовая химия))Бренд:MR PROPER;
(Характеристики товара (Бытовая химия))Серия:Для Полов и Стен;
(Характеристики товара (Бытовая химия))Форма:Спрей;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:8001090628848;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00028596";"Универсальное моющее средство Mr. Proper идеально подходит для очищения практически любых твердых поверхностей в доме. Его можно использовать для мытья кухонных раковин, удаления жира с плиты и даже для пола. Подробные инструкции по применению указаны на упаковке. После очищения поверхностей, соприкасающихся с пищевыми продуктами, необходимо промыть их водой.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА: <li>Удаляет до 100 % грязи, жира и въевшихся пятен<li>Решение для всего дома<li>Очищение практически любых поверхностей<li>Придает свежесть и блеск<li>Очищает даже в холодной воде<br>Состав: <5% неионогенные ПАВ; консерванты, ароматизирующие добавки, амилциннамал, бутилфенил метилпропионал, Гераниол, Гексилкоричный альдегид, лимонен, линаноол.";"MR PROPER";84;105;"/storage/photo/original/g/mr-proper-moyushee-sredstvo-dlya-polov-i-sten-berezhnaya-uborka-05-l.jpg";1
"Бытовая химия/Моющие средства/Средства для мытья полов и стен";"Бытовая химия/Моющие средства/Средства для мытья полов и стен";460290;"MR PROPER Моющая жидкость для полов и стен Океан 0,5 л";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:MR PROPER;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:5413149071131;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00007305";"Моющая жидкость MR PROPER для полов и стен Океан  Концентрированное моющее средство для полов и стен MR PROPER сократит время вашей уборки в два раза и превратит мытье пола в удовольствие. Щадящая рН формула позволяет прекрасно справляться с различными загрязнениями на любых поверхностях, в том числе паркет и ламинат. Концентрат применяется для приготовления моющего раствора, соблюдая инструкцию по применению. Прекрасно растворяется в воде и дает обильную мягкую пену. После мытья поверхность не липнет и на ней не образуется белого налета. Приятный аромат океана наполнит ваш дом свежестью. В процессе работы необходимо пользоваться перчатками. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Подходит для любых поверхностей. </li><li> Не требует дополнительного смывания.</li><li> Не оставляет разводов. </li><li> Не содержит хлор. </li><li> Не токсичен. </li><li> Дарит приятный свежий аромат. </li>
<br>
<br>
Состав:  <5% неионогенные ПАВ; консерванты, ароматизирующие добавки, цитраль, цитронеллол, гераниол, гексилкоричный альдегид, лимонен, линалоол.";"MR PROPER";84;105;"/storage/photo/original/g/mr-proper-moyushaya-zhidkost-dlya-polov-i-sten-okean-05-l.jpg";1
"Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал";"Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал";460291;"GREEN LOVE средство для чистки стекол и зеркал 500 мл";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:GREEN LOVE;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4602984015085;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00043556";"Экологичное средство с экстрактом имбиря и бамбуком.
Легко удаляет пыль, грязь, жир и следы от пальцев со всех видов зеркальных и стеклянных поверхностей. Подходит для любых гладких, моющихся поверхностей и пластика. Придает сверкающий 6леею. Не оставляет разводов. Имеет приятный аромат зеленого бамбука. Не наносит вред окружающей среде. Без фосфатов, парабенов, SLS и химических красителей. Биоразлагаемые компоненты.</p>";"GREEN LOVE";114;142;"/storage/photo/original/g/green-love-sredstvo-dlya-chistki-stekol-i-zerkal-500-ml.png";1
"Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал";"Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал";460292;"VORTEX средство для мытья стекол Magic 0,5 л";"(Характеристики товара (Бытовая химия))Тип товара:Чистка стекол и зеркал;
(Характеристики товара (Бытовая химия))Бренд:VORTEX;
(Характеристики товара (Бытовая химия))Форма:Спрей;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Область применения:Кафель, Стекла;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00035953";"Применяется для чистки зеркал, ЖК-дисплеев, кафеля, пластиковых поверхностей и т.д.
Обладает высокой чистящей способностью
Отлично удаляет грязь, жир, следы от насекомых, отложения смога и дыма
Позволяет получить чистую и блестящую поверхность
Не оставляет разводов
Быстро сохнет";"VORTEX";108;135;"/storage/photo/original/g/vortex-sredstvo-dlya-mitya-stekol-magic-05-l.jpg";1
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";460293;"FAIRY Капсулы для посудомоечных машин Platinum 37 шт";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:FAIRY;
(Характеристики товара (Бытовая химия))Серия:Platinum;
(Характеристики товара (Бытовая химия))Страна происхождения:Бельгия;
(Характеристики товара (Бытовая химия))Количество:37 шт;
(Характеристики товара (Бытовая химия))EAN:8001090033130;
(Характеристики товара (Бытовая химия))Количество:37 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00015956";"Капсулы FAIRY для посудомоечных машин Platinum Многокомпонентная капсула в индивидуальной водорастворимой упаковке, используется для мытья посуды в автоматических посудомоечных машинах. Включает в себя соль, ополаскиватель и непосредственно основное моющее средство в гранулированной форме. В состав которого входят специальные вещества, очищающие детали посудомоечной машины от жировых отложений и остатков пищи. Может применяться как профессиональное средство для мытья посуды, так и в домашних условиях. </p>
<br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Эффективно удаляет жир.</li><li>Исключен прямой контакт кожи рук и моющего средства.</li><li>Работает даже при низкой температуре и повышенной жесткости воды.</li><li>Приятный запах.</li><li>Обеспечивается полное растворение капсулы. </li><li>Эффект безупречной чистоты без разводов.</li><li>Предупреждает износ деталей посудомоечной машины.</li><li>Удобная и практичная упаковка 37капсул.</li>
<br>
<br>
Состав: >30% фосфаты; 5-15% неионогенные ПАВ, кислородсодержащие отбеливатели, поликарбоксилаты; <5% фосфонаты; энзимы, ароматизирующие добавки, цитронеллол, лимонен, линаоол.";"FAIRY";632;790;"/storage/photo/original/g/fairy-kapsuli-dlya-posudomoechnih-mashin-platinum-37-sht.jpg";1
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";460294;"SOMAT порошок для посудомоечных машин Classic 1,5 кг";"(Характеристики товара (Бытовая химия))Тип товара:Порошок для посудомоечных машин	;
(Характеристики товара (Бытовая химия))Бренд:SOMAT;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:9000101400465;
(Характеристики товара (Бытовая химия))Вес:1,5 кг;
(Характеристики товара (Бытовая химия))Код товара:CB-00028907";"Средство для мытья посуды в ПММ. Сомат порошок с сода-эффектом удаляет даже сложные загрязнения и засохшие пятна при каждой мойке. Для получения отличного результата при использовании порошка Somat необходимо соблюдать правильную дозировку.";"SOMAT";677;846;"/storage/photo/original/g/somat-poroshok-dlya-posudomoechnih-mashin-classic-15-kg.jpg";1
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";460295;"SUPRIM порошок для посудомоечных машин 500 г";"(Характеристики товара (Бытовая химия))Тип товара:Порошок для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:SUPRIM;
(Характеристики товара (Бытовая химия))Страна происхождения:Беларусь;
(Характеристики товара (Бытовая химия))EAN:4814628005080;
(Характеристики товара (Бытовая химия))Количество:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00010731";"Удаляет даже засохшие загрязнения. Сохраняет цвет посуды, не оставляет царапин,  разводов и белого налета. Защищает детали посудомоечной машины от накипи. Подходит для воды любой жесткости. Может использоваться для мытья посуды из стекла.";"SUPRIM";140;175;"/storage/photo/original/g/suprim-poroshok-dlya-posudomoechnih-mashin-500-g.jpg";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460296;"GREEN LOVE средство для мытья детской посуды 500 мл";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:GREEN LOVE;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4602984014972;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00043548";"Экологичное средство эффективно очищает детскую посуду и принадлежности от загрязнений. Гипоаллергенно. Подходит для мытья овощей и фруктов. Хорошо растворяется в воде и легко смывается. Работает даже в холодной воде. Можно использовать для мытья посуды и детских принадлежностей с первых дней жизни. Натуральные компоненты заботятся о коже рук. Не наносит вред окружающей среде. Не содержит фосфатов, парабенов, SLS и красителей, биоразлагаемые компоненты не вредят микрофлоре септических установок.</p>";"GREEN LOVE";100;125;"/storage/photo/original/g/green-love-sredstvo-dlya-mitya-detskoj-posudi-500-ml.png";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460297;"CJ LION средство для мытья посуды Chamgreen Зеленый Чай 0,96 л";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:CJ LION;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:КОРЕЯ, РЕСПУБЛИКА;
(Характеристики товара (Бытовая химия))Фасовка:0,9 - 1 л;
(Характеристики товара (Бытовая химия))EAN:8801007656694;
(Характеристики товара (Бытовая химия))Объем:960 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00029116";"Средство для мытья посуды, овощей и фруктов CJ Lion Chamgreen Зеленый чай, флакон-дозатор, 960 мл Предназначено специально для безопасного мытья посуды, кухонной утвари, а также овощей и фруктов. Обладает антибактериальным эффектом, а также является антиоксидантом, благодаря входящему в состав экстракту зеленого чая. Защищает кожу рук, препятствуя ее обезвоживанию. Полностью смывается водой за 5 секунд. Обладает приятным ароматом. Средство 100% биоразлагаемое! Безопасно для здоровья человека, и окружающей среды! Использование: 1.5мл на 1л, при мытье овощей и фруктов замочить продукты в воде на 30 сек. и сполоснуть 5 сек под проточной водой. Состав: алкилэфирсульфат, оксид алкиламина, альфа олефин сульфонат натрия, полиэтиленгликоль, лимонная кислота, бензоат натрия, ароматизатор, экстракт зеленого чая, вода. Меры предосторожности: При попадании на слизистую оболочку глаз - обильно промыть водой. Хранить при комнатной температуре в недоступном для детей месте, вдали от прямых солнечных лучей и нагревательных приборов.";"CJ LION";182;228;"/storage/photo/original/g/cj-lion-sredstvo-dlya-mitya-posudi-chamgreen-zelenij-chaj-096-l.jpg";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460298;"AOS средство для мытья посуды Бальзам Алоэ Вера 0,45 л";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:AOS;
(Характеристики товара (Бытовая химия))Серия:Бальзам;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Фасовка:0,4 - 0,7 л;
(Характеристики товара (Бытовая химия))EAN:4604049095650;
(Характеристики товара (Бытовая химия))Объем:450 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00029027";"Средство для мытья посуды AOS включает компоненты, направленные на удаление жира даже в холодной воде. В процессе мытья происходит образование активной пены, направленной на удаление различных загрязнений. Входящие в состав натуральные добавки заботятся о нежной коже рук, а экстракт ромашки оказывает антибактериальный эффект. </p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li> Эффективно даже в холодной воде.</li><li> Бережно относится к посуде. </li><li> Гарантирует кристальную чистоту и прозрачность стеклянным изделиям. </li><li> Без остатка смывается водой.</li><li> Придает приятный запах посуде после мытья.</li><li> Не оказывает отрицательного воздействия на кожу рук.</li><li> Густая формула, экономичный расход. </li><li> Имеет нейтральный уровень рН. </li>
<br>
<br>
Состав: 5-30%: анионные ПАВ; <5%: неионогенные ПАВ, соль этилендиаминтетрауксусной кислоты, ароматизирующая добавка, красители, экстракт мяты, регулятор pH, консервант.";"AOS";60;75;"/storage/photo/original/g/aos-sredstvo-dlya-mitya-posudi-balzam-aloe-vera-045-l.jpg";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460299;"CJ LION средство для мытья посуды Chamgreen Древесный Уголь 0,96 л";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:CJ LION;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:КОРЕЯ, РЕСПУБЛИКА;
(Характеристики товара (Бытовая химия))Фасовка:0,9 - 1 л;
(Характеристики товара (Бытовая химия))EAN:8806325604914;
(Характеристики товара (Бытовая химия))Объем:960 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00029120";"CJ Lion Средство для мытья посуды, овощей и фруктов Chamgreen Сосновый уголь, флакон-дозатор,1000 мл Предназначено специально для безопасного мытья посуды, кухонной утвари, а также овощей и фруктов. Обладает антибактериальным эффектом, а также адсорбирующим, дезодорирующим и чистящим свойствами, благодаря входящему в состав природному углю. Полностью смывается водой за 5 секунд. Обладает приятным ароматом. Средство 100% биоразлагаемое! Безопасно для здоровья человека, и окружающей среды! Использование: 1.5мл на 1л, при мытье овощей и фруктов замочить продукты в воде на 30 сек. и сполоснуть 5 сек под проточной водой. Состав: алкилэфирсульфат, оксид алкиламина, полиэтиленгликоль, лимонная кислота, бензонат натрия, ароматизатор, порошок древесного угля, вода. Меры предосторожности: При попадании на слизистую оболочку глаз - обильно промыть водой. Хранить при комнатной температуре в недоступном для детей месте, вдали от прямых солнечных лучей и нагревательных приборов.";"CJ LION";189;236;"/storage/photo/original/g/cj-lion-sredstvo-dlya-mitya-posudi-chamgreen-drevesnij-ugol-096-l.jpg";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460300;"AOS средство для мытья посуды Бальзам Алоэ Вера 0,9 л";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:AOS;
(Характеристики товара (Бытовая химия))Серия:Бальзам;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Фасовка:0,9 - 1 л;
(Характеристики товара (Бытовая химия))EAN:4604049095667;
(Характеристики товара (Бытовая химия))Объем:900 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00033361";"Средство мытья посуды AOS. Входящие в состав компоненты способствуют эффективному удалению сложных загрязнения на поверхности посуды. В процессе мойки создается активная пена, проникающая в структуру загрязнений и удаляющая их даже в холодной воде, без предварительного замачивания. За счет содержания особых компонентов бережно относится к чувствительной коже рук. Хорошо смывается в процессе полоскания, дарит посуде кристальную чистоту не оставляя разводов. </p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li> Эффективен даже в холодной воде.</li><li> Бережно относится к посуде, предупреждая коррозию. </li><li> Без остатка смывается водой.</li><li> Нейтрализует неприятные запахи.</li><li> Экономичная концентрированная формула. </li><li> Удобная и герметичная упаковка.</li>";"AOS";101;126;"/storage/photo/original/g/aos-sredstvo-dlya-mitya-posudi-balzam-aloe-vera-09-l.jpg";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460301;"БИОЛАН Средство для мытья посуды Бальзам с Алоэ вера 0,45 л";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:БИОЛАН;
(Характеристики товара (Бытовая химия))Серия:Бальзам;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Фасовка:0,4 - 0,7 л;
(Характеристики товара (Бытовая химия))EAN:4604049095933;
(Характеристики товара (Бытовая химия))Объем:450 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00029031";"Средство для мытья посуды БИОЛАН - оптимальное соотношение цены и качества. Улучшенная формула, обладает более густой консистенцией. Входящие в состав активные компоненты направлены на удаление самого стойкого жира, даже при низких температурах. Прекрасно пенится и тщательно выполаскивается, не оставляя разводов на поверхности посуды. Содержит глицерин, который удерживает влагу в коже, предотвращает ее сухость после мытья посуды. Экстракт ромашки оказывает смягчающее действие. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Новая экономичная формула. </li><li> Эффективное удаление жира. </li><li> Ухаживает за кожей рук. </li><li> Не оставляет разводов и придает посуде блеск.</li>";"БИОЛАН";34;42;"/storage/photo/original/g/biolan-sredstvo-dlya-mitya-posudi-balzam-s-aloe-vera-045-l.jpg";1
"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";460302;"БИОЛАН Средство для мытья посуды Бальзам с Алоэ вера 0,9 л";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:БИОЛАН;
(Характеристики товара (Бытовая химия))Серия:Бальзам;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Фасовка:0,9 - 1 л;
(Характеристики товара (Бытовая химия))EAN:4604049095940;
(Характеристики товара (Бытовая химия))Объем:900 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00033525";"Средство для мытья посуды БИОЛАН - оптимальное соотношение цены и качества. Улучшенная формула, обладает более густой консистенцией. Входящие в состав активные компоненты направлены на удаление самого стойкого жира, даже при низких температурах. Прекрасно пенится и тщательно выполаскивается, не оставляя разводов на поверхности посуды. Содержит глицерин, который удерживает влагу в коже, предотвращает ее сухость после мытья посуды. Экстракт ромашки оказывает смягчающее действие. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Новая экономичная формула. </li><li> Эффективное удаление жира. </li><li> Ухаживает за кожей рук. </li><li> Не оставляет разводов и придает посуде блеск.</li>";"БИОЛАН";85;106;"/storage/photo/original/g/biolan-sredstvo-dlya-mitya-posudi-balzam-s-aloe-vera-09-l.jpg";1
